                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                            Survival
                                                                            Standard    Number    Number
                           Timelist         day     Survival    Failure      Error      Failed     Left

                             0.0000      0.0000       1.0000           0           0       0       471  
                             3.0000      3.0000       0.9830      0.0170     0.00595       8       463  
                             7.0000      7.0000       0.8958      0.1042      0.0141      49       419  
                            14.0000     12.0000       0.8765      0.1235      0.0152      58       405  
                            21.0000     21.0000       0.8721      0.1279      0.0154      60       389  
                            28.0000     21.0000       0.8721      0.1279      0.0154      60       378  
                            35.0000     35.0000       0.8651      0.1349      0.0158      63       356  
                            42.0000     39.0000       0.8625      0.1375      0.0160      64       314  
                            49.0000     39.0000       0.8625      0.1375      0.0160      64       272  
                            56.0000     39.0000       0.8625      0.1375      0.0160      64       226  


                                              Summary Statistics for Time Variable day

                                                         Quartile Estimates
 
                                                    Point         95% Confidence Interval
                                      Percent    Estimate    Transform      [Lower      Upper)

                                           75       .        LOGLOG          .           .    
                                           50       .        LOGLOG          .           .    
                                           25       .        LOGLOG          .           .    


                                                         Mean    Standard Error

                                                      34.8200            0.5042

NOTE: The mean survival time and its standard error were underestimated because the largest observation was censored and the 
      estimation was restricted to the largest event time.


                                       Summary of the Number of Censored and Uncensored Values
 
                                                                               Percent
                                                 Total  Failed    Censored    Censored

                                                   471      64         407       86.41
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left

                                   0.0000       1.0000           0           0       0       471  
                                   1.0000       0.9979     0.00212     0.00212       1       470  
                                   2.0000       0.9958     0.00425     0.00300       2       469  
                                   3.0000            .           .           .       3       468  
                                   3.0000            .           .           .       4       467  
                                   3.0000            .           .           .       5       466  
                                   3.0000            .           .           .       6       465  
                                   3.0000            .           .           .       7       464  
                                   3.0000       0.9830      0.0170     0.00595       8       463  
                                   4.0000            .           .           .       9       462  
                                   4.0000            .           .           .      10       461  
                                   4.0000            .           .           .      11       460  
                                   4.0000            .           .           .      12       459  
                                   4.0000            .           .           .      13       458  
                                   4.0000       0.9703      0.0297     0.00783      14       457  
                                   4.0000*           .           .           .      14       456  
                                   5.0000            .           .           .      15       455  
                                   5.0000            .           .           .      16       454  
                                   5.0000            .           .           .      17       453  
                                   5.0000       0.9618      0.0382     0.00884      18       452  
                                   6.0000            .           .           .      19       451  
                                   6.0000            .           .           .      20       450  
                                   6.0000            .           .           .      21       449  
                                   6.0000            .           .           .      22       448  
                                   6.0000       0.9511      0.0489     0.00994      23       447  
                                   7.0000            .           .           .      24       446  
                                   7.0000            .           .           .      25       445  
                                   7.0000            .           .           .      26       444  
                                   7.0000            .           .           .      27       443  
                                   7.0000            .           .           .      28       442  
                                   7.0000            .           .           .      29       441  
                                   7.0000            .           .           .      30       440  
                                   7.0000            .           .           .      31       439  
                                   7.0000            .           .           .      32       438  
                                   7.0000            .           .           .      33       437  
                                   7.0000            .           .           .      34       436  
                                   7.0000            .           .           .      35       435  
                                   7.0000            .           .           .      36       434  
                                   7.0000            .           .           .      37       433  
                                   7.0000            .           .           .      38       432  
                                   7.0000            .           .           .      39       431  
                                   7.0000            .           .           .      40       430  
                                   7.0000            .           .           .      41       429  
                                   7.0000            .           .           .      42       428  
                                   7.0000            .           .           .      43       427  
                                   7.0000            .           .           .      44       426  
                                   7.0000            .           .           .      45       425  
                                   7.0000            .           .           .      46       424  
                                   7.0000            .           .           .      47       423  
                                   7.0000            .           .           .      48       422  
                                                           The SAS System

                                                       The LIFETEST Procedure

                                                  Product-Limit Survival Estimates
 
                                                                      Survival
                                                                      Standard    Number    Number
                                      day     Survival    Failure      Error      Failed     Left

                                   7.0000       0.8958      0.1042      0.0141      49       421  
                                   7.0000*           .           .           .      49       420  
                                   7.0000*           .           .           .      49       419  
                                   8.0000            .           .           .      50       418  
                                   8.0000       0.8915      0.1085      0.0143      51       417  
                                   8.0000*           .           .           .      51       416  
                                   9.0000            .           .           .      52       415  
                                   9.0000            .           .           .      53       414  
                                   9.0000       0.8851      0.1149      0.0147      54       413  
                                  10.0000            .           .           .      55       412  
                                  10.0000       0.8808      0.1192      0.0149      56       411  
                                  11.0000       0.8787      0.1213      0.0151      57       410  
                                  11.0000*           .           .           .      57       409  
                                  12.0000       0.8765      0.1235      0.0152      58       408  
                                  13.0000*           .           .           .      58       407  
                                  14.0000*           .           .           .      58       406  
                                  14.0000*           .           .           .      58       405  
                                  15.0000*           .           .           .      58       404  
                                  15.0000*           .           .           .      58       403  
